UNIVERSIDADE	P01	P02	P04	P05	P06	P07	P08	P09	P10	P11
1	24	2	2	4	1	0	0	1	0	1
1	23	1	1	1	1	0	0	1	0	0
1	21	2	2	3	1	0	0	1	0	0
1	31	2	1	1	1	1	0	0	0	1
1	18	1	3	4	1	0	1	1	0	1
1	21	1	3	5	1	0	0	0	0	1
1	31	2	2	5	1	1	0	1	0	0
1	20	2	3	6	1	0	0	1	0	0
1	20	2	1	3	1	0	0	1	0	0
1	21	2	1	6	1	0	1	0	0	1
1	19	2	2	3	1	1	0	1	0	0
1	na	2	2	3	1	1	1	1	0	1
1	21	2	2	2	1	0	1	0	0	0
1	na	1	1	2	1	0	1	1	0	0
1	19	2	1	3	1	1	0	0	0	0
1	20	2	3	6	1	0	0	0	0	0
1	21	2	3	4	1	1	0	0	1	1
1	23	1	1	4	1	1	1	1	0	1
1	20	1	1	5	1	0	0	0	0	0
1	18	1	1	6	1	1	0	1	0	0
1	20	2	1	6	1	1	0	1	0	1
1	19	2	1	1	1	1	0	1	0	1
1	23	2	2	3	1	1	0	1	0	0
1	18	2	1	2	1	0	0	1	0	0
1	22	2	1	6	1	0	0	1	0	0
1	na	2	1	5	1	1	0	1	0	1
1	24	2	2	3	1	1	0	1	0	0
1	26	2	2	2	1	0	0	1	0	1
1	18	2	3	3	1	1	0	1	0	0
1	23	1	1	3	1	1	0	1	0	1
1	19	2	1	1	1	0	0	0	0	0
1	22	2	2	3	1	1	0	1	0	0
1	21	1	3	2	1	0	0	0	0	0
1	21	1	2	3	1	0	0	0	0	0
1	na	2	1	3	0	1	1	1	0	0
1	18	2	1	5	1	0	1	1	0	1
1	18	1	1	4	1	1	0	1	0	1
1	22	2	2	3	1	0	0	0	0	0
1	18	1	1	5	1	1	1	1	0	0
1	23	1	3	2	1	0	0	1	0	1
1	na	1	3	6	1	1	0	1	0	1
1	22	2	3	6	1	0	0	1	0	0
2	21	1	1	2	1	1	0	1	0	1
2	24	1	3	4	1	1	1	0	0	0
2	23	2	2	5	1	1	0	1	0	0
2	21	1	2	3	1	0	0	1	0	0
2	28	2	2	3	1	1	1	1	0	0
2	20	1	1	3	1	1	0	1	0	0
2	19	2	1	4	1	1	0	1	0	1
2	19	1	1	4	1	1	0	0	0	0
2	27	1	1	2	1	1	0	1	0	1
2	23	1	1	5	1	1	0	0	0	0
2	30	2	1	4	1	1	0	1	0	1
2	24	1	1	2	1	1	1	1	0	1
2	18	2	2	5	1	1	1	1	0	1
2	na	1	1	na	1	1	0	1	0	0
2	18	1	1	3	1	1	1	1	0	1
2	22	1	1	6	1	1	1	1	0	0
2	25	2	1	1	1	1	0	0	0	0
2	20	1	1	1	1	1	0	1	0	0
2	20	1	1	2	1	1	0	1	0	0
2	21	1	1	3	1	1	1	1	0	0
2	23	1	3	1	1	0	0	1	0	0
2	17	1	3	4	1	1	0	1	0	0
2	17	2	2	6	1	1	0	1	0	0
2	19	2	3	3	1	1	0	0	0	0
2	20	2	2	6	1	0	0	0	0	0
2	18	1	3	6	1	1	1	1	0	0
2	20	1	3	5	1	0	0	0	0	0
2	21	1	3	4	1	0	0	1	0	0
2	21	2	1	3	1	1	0	0	0	1
2	na	2	3	4	1	1	0	1	0	0
2	20	2	2	3	1	0	1	0	0	1
2	21	1	2	2	1	0	0	1	0	0
2	19	2	2	6	1	0	0	1	0	0
2	21	2	2	2	1	0	0	1	0	1
2	20	2	2	1	1	0	1	0	0	0
2	21	2	2	6	1	1	0	1	1	1
2	20	2	2	5	1	1	1	1	0	1
2	20	2	1	5	1	1	0	1	0	0
2	na	2	2	6	1	1	0	1	0	0
2	20	1	3	1	1	1	0	1	0	0
2	na	1	1	6	1	0	1	1	0	0
2	18	1	1	2	1	1	0	0	0	0
2	31	2	1	3	1	0	1	1	0	1
2	20	2	1	1	1	1	0	1	0	1
2	19	2	1	3	1	0	1	0	0	0
2	na	2	1	3	1	1	0	1	0	0
2	21	2	1	3	1	1	0	0	0	0
2	22	2	1	3	1	0	1	0	0	0
2	23	2	2	4	1	1	0	1	0	0
2	25	2	3	2	1	0	0	0	0	0
2	na	2	1	na	1	0	1	1	0	0
2	22	1	1	4	1	0	0	1	0	0
2	20	2	1	0	0	1	1	1	0	1
2	na	2	2	6	1	0	0	1	0	1
2	18	1	3	4	1	0	0	0	0	0
2	21	1	3	3	1	0	0	1	0	0
2	22	1	1	3	1	1	0	1	0	0
2	30	2	1	2	1	1	1	1	0	1
c	na	na	na	na	1	1	1	1	1	1
c	na	na	na	na	0	0	0	0	0	0
